student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk_assessments
408,master of engineering management,Continuing,Satisfactory,0,Referencing,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,EG5200,67.7,79.0,68.3,78.7,66.0,Access,Attendance,EG5220,6.2,69.5,62.2,84.2,70.9,No Access,Concern for Welfare,EG5310,75.0,93.8,62.2,68.9,83.7,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Mental Health,Non-IT,Low
409,master of engineering management,LOA,Academic Caution,1,Studiocity,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,EG5200,49.6,55.0,66.5,61.9,54.4,Access,Non Submission,EG5220,56.3,61.2,41.1,47.4,62.1,Access,Non Submission,EG5310,71.3,74.3,55.2,39.1,84.4,No Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Mental Health,Non-IT,High
410,bachelor of information technology,Transferred,Satisfactory,0,Referencing,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,63.3,64.4,60.3,70.4,62.1,Access,Non Submission,CP1402,76.9,90.1,73.8,69.1,77.8,Access,Attendance,CP1404,50.8,62.8,65.6,73.5,73.3,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,IT,Low
411,bachelor of information technology,Return to Study,Satisfactory,0,4R Essential Skills,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,78.5,72.9,68.0,20.8,68.3,Access,Non Submission,CP1402,73.8,64.9,65.6,61.6,72.3,Access,Non Submission,CP1404,73.0,73.6,80.5,61.6,72.0,No Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental Health,IT,Low
412,bachelor of information technology,LOA,Satisfactory,0,Referencing,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,92.0,82.9,65.2,79.4,79.0,Access,Non Submission,CP1402,79.6,99.3,72.2,76.6,85.1,No Access,Concern for Welfare,CP1404,73.1,68.9,57.2,65.5,66.3,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,IT,Low
413,bachelor of information technology,New,Satisfactory,0,Referencing,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,68.3,70.1,65.4,69.3,67.0,Access,Attendance,CP1402,71.4,66.5,62.6,75.5,71.5,Access,Non Submission,CP1404,64.9,59.0,59.0,66.8,62.1,Access,Attendance,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,No Issue Reported,IT,Medium
414,bachelor of information technology,Continuing,Satisfactory,0,Referencing,Student Advocate,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,66.1,68.8,81.2,64.8,64.1,Access,Attendance,CP1402,69.4,78.4,69.9,61.2,67.4,Access,Non Submission,CP1404,75.9,70.7,74.0,71.0,75.3,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,IT,Low
415,bachelor of information technology,New,Satisfactory,0,4R Essential Skills,Other,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,56.5,74.7,72.7,70.7,65.9,Access,Concern for Welfare,CP1402,76.6,79.2,75.3,74.6,56.7,Access,Non Submission,CP1404,66.6,67.8,64.4,68.0,64.2,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,IT,Medium
416,bachelor of information technology,Transferred,Satisfactory,0,Referencing,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,97.9,67.6,7.4,60.8,66.9,Access,Concern for Welfare,CP1402,69.6,65.7,78.7,68.3,64.3,Access,Attendance,CP1404,36.9,78.1,61.9,66.4,68.9,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Late Enrollment,IT,Low
417,bachelor of information technology,LOA,Conditional,2,4R Essential Skills,Other,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,64.4,39.9,66.9,57.3,42.7,Access,Attendance,CP1402,42.6,41.2,49.5,54.7,67.7,Access,Attendance,CP1404,37.0,58.5,32.4,44.6,65.0,No Access,Attendance,Week 3. Student enrolled late. Missing foundational content from Weeks 1–2. Provided links to recorded lectures and encouraged to attend tutorials for extra support.,Poor Time Management,IT,High
418,bachelor of information technology,LOA,Satisfactory,0,Studiocity,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,91.9,76.9,57.2,85.2,75.7,Access,Non Submission,CP1402,72.6,58.3,69.2,70.3,77.3,Access,Attendance,CP1404,71.5,64.1,61.8,72.5,77.4,Access,Concern for Welfare,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Late Enrollment,IT,Low
419,bachelor of information technology,LOA,Satisfactory,0,Studiocity,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,66.5,75.3,74.1,52.9,69.3,Access,Attendance,CP1402,95.3,79.0,61.7,82.8,78.5,Access,Non Submission,CP1404,81.2,87.7,78.2,59.4,74.6,No Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Poor Time Management,IT,Low
420,bachelor of information technology,Transferred,Satisfactory,0,Essential Skills,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,77.7,64.3,67.4,80.9,69.7,Access,Non Submission,CP1402,91.0,70.1,70.1,68.4,66.9,Access,Non Submission,CP1404,70.6,74.4,62.7,83.0,71.7,No Access,Concern for Welfare,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Mental Health,IT,Low
421,bachelor of information technology,Transferred,Satisfactory,0,Essential Skills and Reading,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,59.5,7.7,72.1,4.1,73.6,Access,Non Submission,CP1402,97.5,63.0,70.8,67.7,64.2,Access,Non Submission,CP1404,64.0,80.6,72.6,63.0,75.7,No Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,IT,Low
422,bachelor of information technology,New,Satisfactory,0,Referencing,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,62.7,57.8,66.3,58.9,68.5,Access,Attendance,CP1402,63.8,62.8,71.5,77.9,66.5,Access,Attendance,CP1404,66.9,68.3,67.2,64.6,60.4,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,IT,Medium
423,bachelor of information technology,First year,Academic Caution,2,4R Essential Skills,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,41.0,84.6,41.6,61.5,57.1,Access,Attendance,CP1402,39.0,53.3,54.1,51.9,43.5,Access,Attendance,CP1404,61.1,71.8,59.4,61.7,71.2,No Access,Attendance,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Late Enrollment,IT,High
424,bachelor of information technology,New,Satisfactory,0,Essential Skills and Reading,Student Advocate,Booked,No,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,81.9,92.8,75.7,65.4,67.9,Access,Attendance,CP1402,74.9,61.0,77.1,62.8,77.1,Access,Concern for Welfare,CP1404,68.8,73.1,81.9,95.2,68.5,Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Late Enrollment,IT,Medium
425,bachelor of information technology,Continuing,Conditional,2,Referencing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,52.5,55.5,67.4,49.0,53.9,Access,Concern for Welfare,CP1402,50.4,45.3,40.0,62.7,67.9,No Access,Attendance,CP1404,54.5,71.0,60.3,74.6,42.9,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Sickness,IT,High
426,bachelor of information technology,Return to Study,Satisfactory,0,Essential Skills and Reading,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,60.5,68.4,76.6,73.5,75.2,Access,Attendance,CP1402,80.4,59.5,65.5,59.8,77.0,Access,Non Submission,CP1404,67.5,82.3,68.2,73.8,78.2,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,No Issue Reported,IT,Low
427,bachelor of information technology,LOA,Academic Caution,1,Essential Skills,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,54.9,54.4,55.6,58.7,80.4,Access,Attendance,CP1402,51.1,46.5,67.5,45.8,24.9,No Access,Concern for Welfare,CP1404,71.5,49.5,46.7,34.7,61.5,Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Death in Family,IT,High
428,bachelor of information technology,First year,Satisfactory,0,Studiocity,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,68.6,74.6,67.9,70.1,80.6,Access,Concern for Welfare,CP1402,77.9,71.6,68.1,69.8,74.8,No Access,Concern for Welfare,CP1404,65.0,25.7,95.7,61.9,67.6,Access,Concern for Welfare,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,No Issue Reported,IT,Medium
429,bachelor of information technology,Return to Study,Satisfactory,0,Essential Skills and Reading,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,No,No Reply,CP1401,72.0,67.5,99.7,82.1,57.3,Access,Attendance,CP1402,82.6,67.9,67.9,73.6,63.5,Access,Attendance,CP1404,74.4,68.9,21.6,54.9,61.4,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,IT,Low
430,bachelor of information technology,First year,Satisfactory,0,Essential Skills and Reading,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,61.9,82.5,65.2,70.5,78.5,Access,Non Submission,CP1402,58.8,77.3,72.2,71.7,82.6,Access,Non Submission,CP1404,74.5,92.4,73.2,87.8,68.0,Access,Non Submission,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,IT,Medium
431,bachelor of information technology,SRI to JCUB,Satisfactory,1,Referencing,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,CP1401,67.5,73.0,78.3,68.7,67.8,No Access,Concern for Welfare,CP1402,73.5,66.7,68.6,68.9,75.7,Access,Concern for Welfare,CP1404,74.6,29.6,66.9,71.4,68.5,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Death in Family,IT,Medium
432,bachelor of information technology,New,Satisfactory,0,Essential Skills,Enrollment,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,67.5,75.4,59.7,21.9,71.1,Access,Concern for Welfare,CP1402,73.8,65.6,71.7,68.8,70.8,No Access,Concern for Welfare,CP1404,62.7,68.7,68.5,90.2,77.1,Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,IT,Medium
433,bachelor of information technology,Transferred,Satisfactory,0,Essential Skills and Reading,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,85.5,0.1,68.0,69.4,73.8,No Access,Attendance,CP1402,75.4,68.1,61.0,18.8,63.4,No Access,Non Submission,CP1404,71.5,66.5,85.8,62.7,60.8,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,IT,Low
434,bachelor of information technology,LOA,Satisfactory,0,Referencing,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,75.3,97.6,75.8,77.5,78.1,No Access,Non Submission,CP1402,73.9,73.4,2.4,80.2,93.4,Access,Concern for Welfare,CP1404,79.4,87.7,81.2,76.5,76.5,No Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,IT,Low
435,bachelor of information technology,New,Satisfactory,0,Essential Skills,Other,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,76.8,62.9,65.5,63.6,55.9,Access,Non Submission,CP1402,70.1,27.6,66.3,66.2,72.3,Access,Non Submission,CP1404,90.6,31.3,61.8,57.2,75.8,Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Late Enrollment,IT,Medium
436,bachelor of information technology,Return to Study,Satisfactory,0,4R Essential Skills,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,70.2,87.0,77.6,76.7,70.0,Access,Concern for Welfare,CP1402,71.5,97.9,92.6,91.0,87.8,Access,Non Submission,CP1404,71.8,70.7,80.4,66.2,63.4,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,IT,Low
437,bachelor of information technology,SRI to JCUB,Satisfactory,0,4R Essential Skills,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,72.7,61.4,72.9,67.5,71.0,Access,Non Submission,CP1402,63.3,77.4,34.0,81.3,76.4,Access,Non Submission,CP1404,54.9,78.6,94.0,75.3,76.4,Access,Attendance,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Death in Family,IT,Low
438,bachelor of information technology,SRI to JCUB,Satisfactory,0,Essential Skills and Reading,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,74.1,64.7,60.8,74.2,69.2,No Access,Concern for Welfare,CP1402,83.1,69.3,77.0,72.5,76.2,No Access,Attendance,CP1404,70.0,83.7,29.7,64.0,65.3,Access,Non Submission,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,Poor Time Management,IT,Low
439,bachelor of information technology,SRI to JCUB,Satisfactory,0,Writing,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,72.9,74.2,21.0,70.8,80.6,Access,Non Submission,CP1402,74.7,86.7,71.2,85.2,71.7,Access,Non Submission,CP1404,75.2,74.6,63.5,55.9,72.0,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,IT,Low
440,bachelor of information technology,Return to Study,Satisfactory,0,Referencing,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,66.5,66.9,77.9,62.8,68.7,Access,Attendance,CP1402,64.8,59.3,91.9,74.5,71.6,No Access,Attendance,CP1404,81.2,56.0,67.5,79.2,79.8,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,No Issue Reported,IT,Low
441,bachelor of information technology,Return to Study,Satisfactory,0,Referencing,Other,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,89.9,77.9,79.4,75.5,69.3,Access,Attendance,CP1402,77.3,68.9,70.5,80.6,90.3,Access,Concern for Welfare,CP1404,65.1,81.6,76.4,30.1,67.5,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,IT,Low
442,bachelor of information technology,Return to Study,Academic Caution,2,Essential Skills,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,No,Phone,CP1401,46.5,68.2,44.6,78.8,52.9,Access,Non Submission,CP1402,46.9,75.2,71.2,61.7,56.1,No Access,Non Submission,CP1404,45.5,60.3,71.3,59.5,57.3,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Late Enrollment,IT,High
443,bachelor of information technology,Return to Study,Conditional,4,Essential Skills and Reading,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,54.2,25.8,58.1,47.3,52.8,Access,Non Submission,CP1402,59.4,48.9,43.1,57.4,31.7,No Access,Concern for Welfare,CP1404,39.1,38.5,54.9,56.6,52.4,Access,Non Submission,Week 3 late enrolment. Student finding it difficult to catch up on Weeks 1 and 2. Week 4. Student contacted on lecturer referral. Student has been sick on arrival,Poor Time Management,IT,High
444,bachelor of information technology,SRI to JCUB,Satisfactory,0,Referencing,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,79.5,77.4,52.1,91.4,73.3,Access,Non Submission,CP1402,85.0,4.2,80.3,89.6,67.7,No Access,Non Submission,CP1404,69.2,77.6,69.4,90.8,73.9,Access,Concern for Welfare,Week 5. Student absent from multiple classes. Email sent to check in; student replied citing family issues. Offered flexibility and reminded of support services.,Poor Time Management,IT,Low
445,bachelor of information technology,SRI to JCUB,Satisfactory,0,4R Essential Skills,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,78.0,79.0,54.3,72.2,77.9,No Access,Non Submission,CP1402,63.6,63.3,74.9,72.2,76.6,Access,Non Submission,CP1404,65.1,91.2,84.1,79.8,62.0,Access,Concern for Welfare,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,IT,Low
446,bachelor of information technology,First year,Satisfactory,0,Referencing,Student Advocate,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,98.3,62.9,64.9,69.2,76.3,Access,Attendance,CP1402,67.6,62.1,74.4,65.6,53.5,No Access,Non Submission,CP1404,69.0,94.6,90.9,80.1,71.5,Access,Non Submission,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,IT,Medium
447,bachelor of information technology,New,Satisfactory,0,Studiocity,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,65.3,58.4,70.7,59.2,62.3,Access,Attendance,CP1402,63.2,66.0,59.9,78.1,69.7,Access,Concern for Welfare,CP1404,78.1,64.0,61.9,72.3,70.8,Access,Non Submission,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,Late Enrollment,IT,Medium
448,bachelor of information technology,LOA,Satisfactory,0,Studiocity,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,74.9,71.8,90.0,73.5,73.0,No Access,Attendance,CP1402,79.0,79.3,71.4,72.8,75.5,Access,Non Submission,CP1404,75.4,74.4,76.7,99.2,68.6,No Access,Concern for Welfare,Week 7. Missed second assessment. Student contacted and reported feeling overwhelmed. Referred to Academic Support and encouraged to speak with Counsellor.,No Issue Reported,IT,Low
449,bachelor of information technology,Transferred,Satisfactory,0,Writing,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,63.5,70.6,77.4,5.2,69.2,No Access,Concern for Welfare,CP1402,15.3,71.2,95.5,67.1,81.4,Access,Non Submission,CP1404,76.3,71.9,76.3,68.4,68.8,No Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,IT,Low
450,bachelor of information technology,SRI to JCUB,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,No,No Reply,CP1401,77.4,64.1,75.6,68.6,89.7,Access,Attendance,CP1402,68.0,74.7,97.4,74.1,78.1,Access,Non Submission,CP1404,74.7,75.5,73.4,84.6,66.8,No Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,IT,Low
451,bachelor of information technology,Transferred,Satisfactory,0,Essential Skills,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP1401,74.1,64.1,71.8,64.0,63.5,Access,Attendance,CP1402,66.8,59.9,62.1,72.4,73.9,Access,Non Submission,CP1404,57.3,68.4,66.8,71.0,76.8,No Access,Attendance,booked to see a doctor. Week 5. Student contacted for low attendance. Reminded of the importance of attending classes. Week 7. Student contacted for missing submission due date. Referred to Counsellor for check in for wellbeing as the student advised mental health challenges.,No Issue Reported,IT,Low
452,bachelor of information technology,New,Satisfactory,0,Writing,Lecturer,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,69.4,78.8,73.4,71.0,68.3,Access,Attendance,CP1402,64.7,58.0,59.6,75.0,74.5,Access,Non Submission,CP1404,63.4,78.4,63.1,56.9,61.6,Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,IT,Medium
453,bachelor of information technology,New,Satisfactory,0,4R Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,71.4,65.3,71.9,57.7,61.8,Access,Concern for Welfare,CP1402,60.6,69.9,49.7,72.6,71.7,Access,Concern for Welfare,CP1404,16.2,66.1,71.8,98.3,77.3,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,IT,Medium
454,bachelor of information technology,Transferred,Satisfactory,0,Writing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,86.1,73.8,69.6,91.0,63.8,No Access,Attendance,CP1402,74.0,59.4,75.5,75.8,66.3,Access,Attendance,CP1404,91.7,74.1,69.1,66.7,66.7,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Poor Time Management,IT,Low
455,bachelor of information technology,SRI to JCUB,Satisfactory,0,4R Essential Skills,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,72.9,71.9,75.6,68.7,70.9,Access,Concern for Welfare,CP1402,30.6,66.0,66.6,67.8,77.2,Access,Attendance,CP1404,76.5,66.7,74.3,87.3,65.3,No Access,Non Submission,Week 8. Student re-engaged with tutorials. Submitted outstanding work with approved extension.,Sickness,IT,Low
456,bachelor of information technology,Transferred,Satisfactory,0,Referencing,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,58.3,79.0,71.5,67.8,67.0,No Access,Non Submission,CP1402,67.1,73.7,77.7,69.5,68.2,Access,Non Submission,CP1404,64.8,31.9,60.5,74.4,69.8,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor Time Management,IT,Low
457,bachelor of information technology,First year,Academic Caution,0,Writing,Student Advocate,Booked,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,38.7,83.9,34.5,43.8,31.0,No Access,Non Submission,CP1402,30.5,48.4,46.6,62.8,40.1,Access,Attendance,CP1404,77.6,63.3,45.0,69.7,41.1,Access,Concern for Welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,No Issue Reported,IT,High
458,bachelor of information technology,Continuing,Conditional,2,4R Essential Skills,Lecturer,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,62.4,77.4,50.1,71.5,63.9,No Access,Attendance,CP1402,59.0,43.6,49.5,84.2,36.6,Access,Non Submission,CP1404,57.7,62.0,53.9,33.3,55.8,Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Mental Health,IT,High
459,bachelor of information technology,Excluded,Excluded,4,Referencing,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,0.0,0.0,0.0,0.0,62.4,No Access,Concern for Welfare,CP1402,0.0,0.0,0.0,0.0,37.3,Access,Concern for Welfare,CP1404,0.0,0.0,0.0,0.0,53.3,Access,Concern for Welfare,Week 3. First contact made. Student reported internet access issues at home. IT support referral provided.,Late Enrollment,IT,High
460,bachelor of information technology,SRI to JCUB,Satisfactory,0,Essential Skills,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Phone,CP1401,11.9,73.3,61.8,72.6,65.4,No Access,Attendance,CP1402,72.7,28.0,81.4,72.1,71.5,Access,Non Submission,CP1404,64.9,93.9,77.9,70.2,70.7,Access,Concern for Welfare,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,No Issue Reported,IT,Medium
461,bachelor of information technology,SRI to JCUB,Satisfactory,0,Writing,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,CP1401,74.9,63.7,74.5,68.3,73.4,Access,Attendance,CP1402,76.1,64.5,51.2,75.7,85.0,No Access,Attendance,CP1404,74.4,77.0,76.7,77.9,69.6,Access,Attendance,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Death in Family,IT,Low
462,bachelor of information technology,LOA,Academic Caution,1,Essential Skills,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,Email,CP1401,64.7,85.2,91.7,53.3,64.1,Access,Non Submission,CP1402,63.5,71.2,50.8,58.0,60.9,Access,Non Submission,CP1404,74.2,66.6,69.1,47.2,62.4,No Access,Attendance,Week 6. Student reported working long hours. Referred to careers support for managing work–study balance.,Death in Family,IT,High
463,bachelor of information technology,Return to Study,Academic Caution,0,Studiocity,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,F2F,CP1401,26.9,69.0,69.5,71.0,63.7,No Access,Attendance,CP1402,78.7,79.4,41.2,58.2,39.7,Access,Non Submission,CP1404,90.0,55.3,48.1,58.8,84.8,Access,Non Submission,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,Poor Time Management,IT,High
464,bachelor of information technology,Continuing,Satisfactory,0,4R Essential Skills,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,No,Email,CP1401,76.3,10.3,90.4,68.6,69.5,No Access,Non Submission,CP1402,76.1,66.0,70.4,69.2,54.2,Access,Non Submission,CP1404,71.5,78.9,66.4,73.3,73.8,No Access,Attendance,Week 5. Low engagement in tutorials. Follow-up email sent with participation expectations and links to recorded sessions.,No Issue Reported,IT,Low
